BBG Ticker,Equities,Currency
FSEQFIA LX EQUITY,Fundsmith,EUR
FSEFIAU LX Equity,Fundsmith ,USD
ARR LN Equity,Aurora,GBp
DMSAUHU ID Equity,Alkeon,USD
HERLINB LX EQUITY,Hermes B,EUR
XLE US Equity,Energy Select Sector SPDR,USD
EMAD LN Equity,SPDR Asia EM ETF,USD
WCLD US Equity,Wisdomtree Cloud Computing Fund,USD
PFSECPC LX Equity,Pictet-Security,EUR
PFLBIHI LX Equity,Pictet-Biotech HI,EUR
DNBNORT LX Equity,DNB Fund SICAV - technology A-institutional-capitalisation ,EUR
HEPFUTC ID Equity,Heptagon Fund PLC - Future Trends ,USD
POLGTIE ID Equity,Polar Capital Funds PLC - Global technology I,EUR
SCHCTCE LX Equity,Schroder GAIA Contour Tech Equity,EUR
COMWIUZ LX Equity,Edgewood Growth Fund,USD
EMQQ US Equity,EMQQ,USD
UV3661112@NXED Corp,Atonra Innovation Technologies,USD
GUSFGAA ID Equity,Granahan US Growth,USD
IEVL LN Equity,iShares MSCI Europe Value ETF,EUR
TBGVX US Equity,Tweedy Browne,USD
MLCCPUI ID Equity,Cooper Creek UCITS,USD
MSDEWIN Index,MSCI WORLD,EUR
SX5E Index,Eurostoxx 50,EUR
FTSEMIB Index,FTSE MIB,EUR
SPX Index,S&P500,USD
CCMP Index,Nasdaq,USD
MSELCAXJ Index,MSCI WORLD Asia Ex Japan,USD
SHCOMP Index,Shanghai Composite,CNY
NKY Index,Nikkei 225,JPY
DAX Index,DAX,EUR
CAC Index,CAC40,EUR
UKX Index,FTSE 100,GBP
XBTUSD CURNCY,Bitcoin,USD
XETUSD CURNCY,Ethereum,USD
XAU CURNCY,Gold,XAU
XAG CURNCY,Silver,XAG
CO1 Comdty,Crude Oil,USD
PCMAGOI LX Equity,Pictet MAGO,EUR
LYEGTIE ID Equity,LYXOR EPSILON GLOBAL TR-IE,EUR
WINTFEI ID Equity,WINTON-TREND FD UCITS-EUR I,EUR
AQRTEUA LX Equity,AQR Alternative Funds UCITS,EUR
CGCGCI1 ID EQUITY,Cheyne Select UCITS Fund Plc - Cheyne Global Credit Fund,EUR
DTLA LN Equity,TLT 20 years,USD
URA US Equity,Global X Uranium ETF,USD
U-U CN Equity,Sprott Physical Uranium,CAD
GBSE IM Equity,Wisdometree Phisical Gold ,EUR
KRBN US Equity,Kraneshare Global Carbon ETF,USD
GDX US Equity,ETF Gold Miners,USD
OLA CN Equity,Orla Mining,CAD
GL3000U KY Equity,Gold 3000,USD
GOLDEUC LX Equity,Konwave Gold,USD
JBKJCHE LX Equity,Konwave Transition Metals,EUR
RAEAELS SW Equity,Rare Earth Elements Fund,CHF
ASALVLI LX Equity,Assenagon,EUR
QUAIGND LX Equity,Quadriga Igneo,EUR
MURDCCU LX Equity,One River,USD
MURDCCE LX Equity,One River ,EUR
BTCW SW Equity,Wisdomtree Bitcoin ETF,USD
ASOL SW Equity,21 shares Solana ETP,USD
AETH SW Equity,21 Shares Ethereum ETF,USD
JPMDMAC LX Equity,Private Bank Funds I - Dynamic Multi-Asset Fund (EUR),EUR
PIDMIAE ID Equity,PIMCO-DYN MLT AST-INSACCH EU,EUR
BMADM64E Index,Bloomberg Global EQ:FI 60:40 Index EUR,EUR
BMADM37E Index,Bloomberg Global EQ:FI 30:70 Index EUR,EUR